id,code,name
528,NELC 639,Images of Cult & Devotion
528,RLST 633,Images of Cult & Devotion
529,CLSS 864,Art & Ritual Greek Antiquity
529,HSAR 563,Art & Ritual Greek Antiquity
530,CLSS 880,Roman Law
530,HIST 521,Roman Law
531,CLSS 882,GradWorks in Prgrss Colloquium
532,CLSS 895,SurveyofGrk&LatnHistrclSources
532,HIST 504,SurveyofGrk&LatnHistrclSources
533,CLSS 899,Graduate Latin Survey II
534,CLSS 900,Directed Reading
535,CLSS 901,Greek History 1400–300 BCE
535,HIST 901,Greek History 1400–300 BCE
536,CPAR 491,Senior Project
537,CPLT 510,Mortality of the Soul
537,GMAN 604,Mortality of the Soul
538,CPLT 549,Memory&Memoir in Russ Culture
538,RUSS 609,Memory&Memoir in Russ Culture
539,CPLT 587,World Literature
539,GMAN 713,World Literature
539,JDST 679,World Literature
540,CPLT 603,Desire in Yiddish Literature
540,JDST 302,Desire in Yiddish Literature
540,JDST 688,Desire in Yiddish Literature
540,LITR 209,Desire in Yiddish Literature
541,CPLT 628,Goethe's Wilhelm Meister TR
541,GMAN 247,Goethe's Wilhelm Meister TR
541,GMAN 710,Goethe's Wilhelm Meister TR
541,LITR 201,Goethe's Wilhelm Meister TR
542,CPLT 673,Golden Age Theater
542,LITR 459,Golden Age Theater
542,SPAN 329,Golden Age Theater
542,SPAN 629,Golden Age Theater
543,CPLT 675,El Quijote en español
543,LITR 445,El Quijote en español
543,SPAN 302,El Quijote en español
543,SPAN 660,El Quijote en español
544,CPLT 691,Allegory as Cultural Critique
544,JDST 687,Allegory as Cultural Critique
545,CPLT 706,New Map of the World: Vico
545,ITAL 700,New Map of the World: Vico
545,RNST 701,New Map of the World: Vico
545,SPAN 705,New Map of the World: Vico
546,CPLT 728,Chance & Constraints in Lit
546,FREN 929,Chance & Constraints in Lit
548,CPLT 806,"ItalRenaissanceWar,Lit&Politcs"
548,ITAL 238,"ItalRenaissanceWar,Lit&Politcs"
548,ITAL 576,"ItalRenaissanceWar,Lit&Politcs"
548,LITR 197,"ItalRenaissanceWar,Lit&Politcs"
548,RNST 576,"ItalRenaissanceWar,Lit&Politcs"
550,CPLT 851,Cassirer: Form as Function
550,GMAN 705,Cassirer: Form as Function
550,HSAR 530,Cassirer: Form as Function
551,CPLT 899,Realism & Naturalism
551,FREN 893,Realism & Naturalism
552,CPLT 925,Literary Translation
552,ENGL 456,Literary Translation
552,HUMS 427,Literary Translation
552,JDST 316,Literary Translation
552,LITR 348,Literary Translation
553,CPLT 929,Film and Fiction Interaction
553,FILM 445,Film and Fiction Interaction
553,FILM 651,Film and Fiction Interaction
553,LITR 450,Film and Fiction Interaction
554,CPLT 935,FrenchCinema throughNewWave TR
